parity,days_in_milk,breed,milk_yield_kg,scc,electrical_conductivity,activity_steps,rumination_time,body_temp,milk_fat_pct,milk_protein_pct,mastitis,log_scc,yield_deviation,early_lactation,stress_score
2,274,0,25.89259511171747,27023.972400411698,4.935705779890944,3253,555,38.78351083107131,4.068241371415767,2.8484706922909386,0,10.204479617747907,-2.107404888282531,0,0
5,127,1,11.713833972501014,1495308.0694669636,5.5388764212375365,1679,365,38.960283372517544,3.9578927158676205,3.7027967304854026,1,14.217842810111218,-16.286166027498986,0,2
2,121,0,20.691214167332284,16763.879749483327,5.237694390523079,3366,524,38.79065344337008,3.3811146255031748,3.184528697662358,0,9.726981835879371,-7.308785832667716,0,0
5,49,0,20.952840235064244,519286.04408435035,6.140551573139816,1222,292,40.31236139731877,3.274597984473049,3.5932326082752875,1,13.160210154994779,-7.047159764935756,1,3
3,363,0,33.170583654530034,22615.62004508447,4.6529689763998165,3361,445,38.554714011116566,4.575183907737185,3.1568209027065532,0,10.026396098961893,5.170583654530034,0,0
1,82,1,19.649380791890135,53604.17891406402,4.687723368942466,4149,468,38.63876125321135,4.098328600381168,2.7807567596026774,0,10.889382308834422,-8.350619208109865,1,0
3,193,0,30.14164703102859,10000.0,5.103019638084009,4334,458,38.69598366980758,4.689192609491309,2.940633208525044,0,9.210340371976184,2.14164703102859,0,0
4,19,0,17.83462250392493,90126.17825501069,4.433579261917815,4012,459,38.451003012186355,3.871254533195881,3.0976164160752937,0,11.408965948066404,-10.16537749607507,1,0
1,19,0,18.687300472456155,1462532.130924662,7.277508699377036,2586,322,40.29475930526646,3.238340007616775,3.771058362387701,1,14.195679827709831,-9.312699527543845,1,3
3,100,0,22.903033405381947,15550.587709035195,4.873921495134445,3384,515,38.34270888451923,3.129151718249685,3.512299651396013,0,9.651853711686435,-5.096966594618053,0,0
3,159,1,23.288259576605768,73408.1905091197,4.751568024937584,4315,483,38.82143990782076,3.7915489131692937,3.26369589104516,0,11.203790795694912,-4.711740423394232,0,0
2,226,0,39.98551799433683,66398.96411648775,4.394395901533861,4352,516,38.866467389851174,3.5220294370237184,3.515394714627041,0,11.103436734687529,11.985517994336831,0,0
3,145,1,28.635645117013162,56920.643472900956,4.756034123879005,3331,583,38.759563510046206,4.56239463364242,3.0512393898543815,0,10.949413357004628,0.6356451170131621,0,0
2,62,0,37.22741045532413,10000.0,5.69663220129486,3577,498,38.488607827948584,4.328455955401017,3.280796487462277,0,9.210340371976184,9.227410455324133,1,0
1,71,0,22.561004637933372,64496.5182221791,4.311947196230951,4375,526,38.43995916612442,4.712030499174331,3.376711066034251,0,11.074366520275348,-5.438995362066628,1,0
4,14,1,24.896955789339913,39164.66648303404,5.237723195855815,3715,477,38.24159533176944,4.228924775133277,3.0607605378410625,0,10.57553025407592,-3.1030442106600873,1,0
3,172,0,21.365791370219043,200000.0,6.854369052436191,2746,388,39.79916613858592,3.341863913219786,3.7547351053745968,1,12.206072645530174,-6.634208629780957,0,3
1,187,0,25.32020715182104,13757.7231861435,4.3726446160235835,4548,459,38.7808728836159,4.206334530067099,3.592060430189661,0,9.529355631673013,-2.679792848178959,0,0
2,109,0,15.909943765296022,200000.0,5.771431464226225,2428,377,39.6635620277041,4.159147027264455,3.478218632824671,1,12.206072645530174,-12.090056234703978,0,3
2,253,0,15.277414088491094,50942.34295744018,3.87297205303662,3656,481,38.74641606160071,3.882700446872793,3.0829284974068556,0,10.838449741928821,-12.722585911508906,0,0
1,46,0,27.66163946567597,41126.2471508025,4.886928607989859,4178,470,38.986288859525004,4.428119026048686,2.7908439608278783,0,10.624401813463233,-0.33836053432402835,1,0
3,340,0,30.010869441056425,135911.08697510837,5.213319515391312,3823,445,38.70467457666164,3.72304785652508,2.9963864867148553,0,11.819756178674076,2.0108694410564247,0,0
2,237,1,26.30754662612578,16918.02350999086,4.98772564581814,3893,422,38.504593188252514,3.761207927576733,3.4217126487768454,0,9.73613481250662,-1.6924533738742191,0,0
5,145,0,28.950429116965942,43199.98782527184,4.368063470463561,3227,459,38.452750851498685,3.6332375192822073,3.30569524264179,0,10.673595492409751,0.9504291169659425,0,0
1,174,1,30.19182568664445,41213.493879641675,5.340286093021085,3586,536,38.92068990074418,2.7395697848449556,3.458784986664035,0,10.626521003064735,2.1918256866444494,0,0
3,44,0,23.06541483391611,1613451.1580922594,5.720744584595041,2655,200,39.65752778104743,3.1619799047366883,3.486230362371764,1,14.293886019233375,-4.934585166083892,1,3
3,210,0,26.59577039461844,36991.82335746601,4.319738544650323,3595,413,38.77675763062246,3.579109865018898,3.250498456339144,0,10.518452176865642,-1.404229605381559,0,0
2,77,0,26.314590475280543,368421.2803237405,6.253437771199272,2287,350,39.37663695042744,3.0603701236415586,3.062472390207659,1,12.816982345874537,-1.6854095247194572,1,3
3,375,0,22.006864370428538,11383.587608576858,4.840722600635375,4798,539,38.33045614453041,4.106727680580226,3.217169871346945,0,9.33992791358444,-5.993135629571462,0,0
2,277,0,18.50007080342429,19651.009353821682,5.144806530068745,4286,534,38.60655152173989,3.357215978120607,3.386059996432764,0,9.88588398258489,-9.49992919657571,0,0
2,143,0,31.66081445952701,123661.81086697511,4.634801769919085,4237,499,38.78953216644791,3.3799727576237837,3.2069048537792413,0,11.725305786923947,3.6608144595270105,0,0
2,107,0,10.546774771399967,200000.0,6.452194926275556,2667,340,39.766231096399686,3.705328155377562,4.064656582371093,1,12.206072645530174,-17.453225228600033,0,3
2,213,0,22.407525519610132,75510.71295815005,4.060776571163195,5089,520,38.42478253091365,4.050525736188835,3.2498974773304816,0,11.232029818656619,-5.592474480389868,0,0
2,238,0,31.469115341919892,46894.82133651834,5.827454455782051,3740,488,38.582523607416014,3.9950589649177872,3.392705303913309,0,10.755662529073714,3.469115341919892,0,0
2,103,0,31.092122062385435,12761.397116364285,4.34888187988692,4150,481,39.03623308093654,4.099241485644517,3.1536817910037955,0,9.454180042783062,3.0921220623854353,0,0
1,186,0,25.92329331400245,54980.050327798715,4.672599821711485,3513,469,38.78015961716143,4.413022371045878,3.2297159247238842,0,10.91472567710257,-2.07670668599755,0,0
2,344,1,28.778820373495055,13231.546500879216,4.507437877378536,3526,510,38.98862385968035,4.3222046418690265,3.293152280829804,0,9.490359143767982,0.778820373495055,0,0
3,271,0,29.845173545157433,21163.397534382573,4.923872793385345,3506,495,38.26051925060351,4.599937910348704,3.4028394531690482,0,9.960028437089953,1.845173545157433,0,0
3,299,0,29.32939452744052,113272.29106290126,4.636855768444569,4529,468,38.6887745075296,3.562584883612317,2.9307316301304422,0,11.637549854554178,1.3293945274405203,0,0
1,161,0,18.67550344725325,317145.27752015326,5.23441351451906,2545,314,40.063082289216354,2.66926227960576,3.321787326709667,1,12.66711523658433,-9.324496552746751,0,3
2,166,0,25.100605325891884,64343.65261038877,5.035412098708181,2995,477,39.10341884664386,3.477614745876509,3.223711938634137,0,11.071993569625976,-2.899394674108116,0,0
2,13,1,21.63659273706453,302956.60980686406,6.3170564440184975,1606,399,40.72537609356175,3.16665715498212,3.6302118983395575,1,12.621344872279582,-6.363407262935471,1,3
4,204,0,24.94360950787098,17536.546103456894,4.754683142743228,4390,495,38.87413853269705,3.4818025349752255,3.133485330342381,0,9.772042331111436,-3.056390492129019,0,0
2,263,1,19.93077883945374,48356.147500404986,4.436112062217559,4131,497,38.448709933822435,4.092731247886044,3.438270555986404,0,10.78634863861926,-8.06922116054626,0,0
5,365,0,23.071575789979267,79209.68624539478,4.540853459886898,3212,478,38.711790873566294,4.125383651838767,3.2470091603750464,0,11.279853871402567,-4.928424210020733,0,0
5,245,0,35.79695903544224,57908.37666098843,5.45568473567867,4666,485,38.12710699647981,3.3764351655433495,3.1830221439281297,0,10.966617327725192,7.796959035442242,0,0
2,62,1,32.96818353938071,16297.907494655401,4.648289555712314,3641,453,38.161327223684346,4.030471201958865,3.3599627569654764,0,9.698792003993116,4.968183539380711,1,0
1,185,0,27.353488075064757,35026.04527258358,4.7845608058869615,4550,471,38.33913921241927,4.4084264324660625,3.2606932298739952,0,10.463847214373988,-0.6465119249352433,0,0
5,259,0,20.54498815529725,10000.0,4.782763437434106,4023,538,38.862633561687126,4.010659589651504,3.3955513022151553,0,9.210340371976184,-7.455011844702749,0,0
2,95,0,21.900936373322185,452977.2540963047,6.127567254535938,1445,298,40.161548557647706,3.1285509385062307,3.593953121454896,1,13.023597191496584,-6.099063626677815,1,3
5,258,1,25.92157834856444,106897.76536792127,5.100811709262944,3931,522,39.02474564025619,4.048559663402373,2.971624990038055,0,11.579628192846295,-2.0784216514355585,0,0
2,69,0,29.280931020798146,46292.548724242995,3.73434326144769,3599,474,38.440089464920334,4.2271310709807475,3.104604433122182,0,10.742736292441373,1.2809310207981461,1,0
3,279,0,27.44324558854589,659611.38523242,5.0,3741,317,40.10514879196124,3.7265644435832352,4.177602022542013,1,13.399406130331865,-0.5567544114541114,0,2
5,282,0,31.97479263640095,99479.15291981603,4.848058009034627,4017,477,38.48187939452267,3.873346285825923,3.1568767636660264,0,11.50770338280083,3.9747926364009487,0,0
4,44,0,13.022320705715963,1377666.9389589888,5.158981187895661,2740,427,38.8904490163875,2.5621094491475005,3.555117196597459,1,14.135902002473204,-14.977679294284037,1,1
1,233,1,19.30419902694468,10000.0,5.109066496968647,3201,497,38.78381190322284,4.396817064194589,3.492147152250052,0,9.210340371976184,-8.69580097305532,0,0
2,142,0,23.024743212914125,51553.59643881574,4.716491474734491,4041,511,38.80918040497118,3.9383744715646354,3.108674734567518,0,10.850377253040973,-4.9752567870858755,0,0
2,86,0,33.16477857842227,21408.704947479404,4.822891619369004,3301,469,38.54199426131912,3.5056739630434484,2.9629882912596712,0,9.971552891546835,5.164778578422272,1,0
2,187,0,14.293938840411844,35709.0855364985,4.437573438386683,4132,494,38.62161665210398,4.032450258977098,3.3472156285301122,0,10.483160432209594,-13.706061159588156,0,0
2,171,0,23.315457811667038,35489.68998874641,4.404008917530319,3842,446,38.36197175313746,3.592187565588065,3.367270968301817,0,10.47699751043041,-4.684542188332962,0,0
2,11,1,27.636150602436985,130863.59474962346,5.307974707695682,2320,513,38.6945076208553,4.351816505901818,3.298625790079206,0,11.78191079824071,-0.3638493975630155,1,1
4,199,0,33.59562228881637,46848.53414205512,5.253162365254955,2284,504,38.3254345107298,3.629151180795396,3.0277845830920658,0,10.754674998853815,5.595622288816372,0,1
5,44,1,23.460918178188724,200000.0,5.846853476274435,3614,400,40.0364957261567,2.8241887815269044,3.3613062098484074,1,12.206072645530174,-4.539081821811276,1,1
2,51,0,24.108756722014345,61346.01866297059,5.081240464484847,4384,483,39.225548949484995,4.4972067835459155,3.1840273492129882,0,11.024285552564153,-3.891243277985655,1,1
1,64,0,24.20735891395551,50246.29804898816,4.293699185732324,3536,498,38.678771980536816,3.804743918484353,3.0757253059484246,0,10.824692152540603,-3.7926410860444904,1,0
4,48,0,25.945027975905866,29075.890055666237,5.014362063166122,4507,367,38.88962694513685,3.81047532334277,3.3333743924558417,0,10.277664589323,-2.054972024094134,1,1
4,42,1,20.51495139319777,628078.1992577352,7.268379926878625,1780,346,39.3450289389953,3.3156396289974768,3.466783107134311,1,13.350419958809269,-7.485048606802231,1,3
3,228,0,20.386985404342283,25009.122405514227,4.9324958170216515,4143,409,38.88268847934254,3.917997209050314,3.1187372064791603,0,10.126995933512472,-7.613014595657717,0,0
2,161,0,28.05785295736331,46228.95264940211,4.818621549889505,4064,500,38.93105092033118,4.2569240738653455,3.3881170401284963,0,10.741361561510455,0.05785295736330909,0,0
2,141,1,31.97180080979185,122968.04685952059,5.235592521099799,4299,457,38.70969913268259,3.589192004130924,3.032937815157532,0,11.719679818975548,3.9718008097918513,0,0
3,92,0,19.618775363569465,536040.5532664718,6.449841594739465,2852,327,39.91294272603854,2.9635290314602702,3.374916363664276,1,13.191965096270174,-8.381224636430535,1,2
4,216,0,27.0976696842593,39219.475070172026,5.325039183109368,3523,475,38.24327895289416,3.929165840606489,3.561313854020219,0,10.57692871542242,-0.9023303157406986,0,0
2,156,0,28.12689185887198,19067.98763092257,4.7488016690714225,3605,494,38.70365977926218,4.268725129926313,2.8552995548114875,0,9.855766167642031,0.1268918588719785,0,0
2,233,1,37.73043195742031,32583.91521113902,4.607935824685561,4663,463,39.29509189191347,3.6548924559272087,3.0671279240980946,0,10.391574047162422,9.730431957420308,0,1
1,105,0,25.38504363189015,19461.55727823729,4.020881990417728,4023,573,38.482811595237635,3.4719817945255897,3.4445402763847937,0,9.876196377113601,-2.6149563681098513,0,0
4,35,1,23.461283603832733,13108.961466894718,4.872455577465845,4016,548,38.905520238644776,3.9642404860038902,3.50284801117985,0,9.481051356754532,-4.538716396167267,1,0
2,115,0,28.60413856721658,24145.09743315658,4.515275435313899,3327,508,39.01915418010447,3.612479875250562,3.2138721188895767,0,10.09183663363421,0.6041385672165802,0,0
3,123,1,28.925352502466765,542835.2543431447,5.85196028501968,2753,264,38.8,2.89413151959614,3.6261436249342296,1,13.204561153881551,0.9253525024667653,0,2
1,190,0,25.755510021731638,21172.380086386784,4.845133327165137,1762,530,38.744418308436714,4.738389492743127,3.2850505242102805,0,9.96045278513049,-2.244489978268362,0,1
5,95,0,28.787261356874474,30638.289001576908,5.134495127589562,3984,511,38.56113061817103,3.7631256610054744,3.141510476184257,0,10.330005780310218,0.787261356874474,1,0
1,130,0,31.56293504191961,36113.20473820381,5.641781910783419,4248,600,39.41786851071798,3.281104744413999,3.2704607772551957,0,10.494413859660677,3.5629350419196086,0,1
2,131,1,26.417887032083666,13891.897083367616,5.094666728489758,4866,513,38.27591286883897,4.130829113745874,2.9153298568044668,0,9.539061005498459,-1.5821129679163342,0,0
5,27,0,27.89346499723472,216078.6186733411,5.690964242580107,1628,295,39.74410367259668,3.1138621345542608,3.366144452319121,1,12.283397595782889,-0.1065350027652805,1,3
3,55,0,25.18440425732819,42240.97944006553,4.5781434346508725,4259,441,38.87014958769076,4.225760690013791,2.963143642723067,0,10.651146105612868,-2.8155957426718103,1,0
1,63,0,31.538290239141084,48866.061941933476,4.852459963512037,3663,496,38.714134472231635,4.780177159783595,3.4443507868332435,0,10.796838404695468,3.5382902391410838,1,0
4,168,0,37.070698901847024,19415.877860005792,5.5032522029259825,3372,462,39.053663029192414,3.8817665083773876,3.296770835115031,0,9.873846456698857,9.070698901847024,0,0
1,202,0,23.825621968357986,58430.13464737475,4.784934726044608,4503,503,38.41448922402652,4.798364545437398,2.9993418487832892,0,10.975587039967781,-4.174378031642014,0,0
4,84,0,27.520277468942034,30617.746704731315,4.531776264360621,4246,481,38.08183498131023,3.967888488436751,3.1638345412107443,0,10.329335077500975,-0.47972253105796625,1,0
3,110,1,21.747946374076797,285912.08325142437,5.855877227449469,1516,361,39.747862936577654,4.164744546248176,3.840868809169574,1,12.563439641325754,-6.252053625923203,0,3
1,227,1,26.75706845228039,49245.187842502106,4.564073387368466,4142,522,38.60383544278518,3.6088603890108852,3.1284903203950867,0,10.804566933044738,-1.2429315477196106,0,0
2,55,0,25.599944332317627,28536.479134250523,5.736459150985998,3244,415,38.33225904782955,4.19780370494738,3.3790328689207803,0,10.25893851741678,-2.4000556676823734,1,0
2,75,0,28.13949157345811,195000.0,5.26514425727008,3607,512,39.07992469902507,3.7680668746715944,3.242392152474586,0,12.180754837545884,0.13949157345810903,1,0
5,217,1,18.879179175543086,39707.03286009219,4.837527568456233,3677,525,38.48211035209132,4.315318330232847,3.358180251460947,0,10.589283601114317,-9.120820824456914,0,0
3,156,0,26.831500494676877,23070.921870716207,5.098035568045554,3791,411,38.87094079202773,3.352084394594809,3.2822159159532203,0,10.046328310088382,-1.1684995053231226,0,0
2,205,0,27.72730383686298,21851.52705025536,4.593210440074053,4186,512,38.54944983833219,3.3067503469933532,3.459295275694404,0,9.992026085965232,-0.27269616313702016,0,0
1,41,0,29.98793811918853,137012.8057594519,4.777961947229624,4279,446,39.145106932851604,3.7757550374891133,3.2693356856073725,0,11.827829673138691,1.9879381191885308,1,0
3,120,1,22.477037857353757,22392.964852631212,4.416822855172153,4028,411,38.83672115386037,3.2136978728158834,3.126269335120009,0,10.016502119434145,-5.522962142646243,0,0
3,89,0,33.18258069854548,19149.97955364551,4.808132687420216,2645,495,38.77184688214431,4.063866694543827,3.3503410992379976,0,9.86005692691347,5.182580698545479,1,1
1,25,1,28.224939217880504,72864.35770060346,5.136430554201325,4697,490,38.68257161186409,3.3043110948459256,3.4462470804599756,0,11.196354878005504,0.22493921788050386,1,0
4,190,0,33.23859447018314,43467.76881440483,5.421233931136499,3394,479,38.65194935335472,4.432737545447125,2.9507344235882913,0,10.679774995644738,5.238594470183138,0,0
2,139,0,32.14683631345789,15934.608271388544,5.010317775906549,4212,510,38.83971077234321,4.418063662947442,3.4907024534816555,0,9.676248643643,4.146836313457889,0,0
1,92,0,34.44248130748597,137455.6483247027,4.906504686567971,2735,494,38.703948961660835,3.873231069371552,3.3208623517307396,0,11.831056586417333,6.44248130748597,1,1
4,255,0,15.08455817364202,908346.8120077645,6.131590951956387,1715,483,39.65476510444761,3.379722063030425,3.968206065506508,1,13.719381536208907,-12.91544182635798,0,2
2,135,0,29.863707350675686,10000.0,4.375808301266227,3452,441,38.72350343777367,3.0103057284055654,3.2447610493772614,0,9.210340371976184,1.8637073506756856,0,0
5,200,0,36.01327883212446,11263.44889359513,5.621419087417097,4418,487,38.616107529373444,3.7727267063386494,3.0511417346324414,0,9.329318150851027,8.013278832124463,0,0
1,347,0,30.57660155308193,62503.62012406877,4.724726007372597,4575,489,39.11900995922956,4.173949466503249,2.9903597002111,0,11.04297975603218,2.576601553081929,0,0
3,94,1,26.549122303010467,20519.93428082825,4.798827275303841,3702,445,38.855209533949186,3.8175888532384956,3.0647987372322105,0,9.929152096590895,-1.450877696989533,1,0
2,161,0,37.939607160252976,59825.67621276884,4.586307776635685,3216,561,38.762562546031965,3.5716974162385093,3.2683876363597637,0,10.999190215893117,9.939607160252976,0,0
1,215,0,19.51017510091283,266518.7137626597,6.3082907188916435,1593,298,39.4084355017003,3.491976337781979,3.598606155531023,1,12.493199740620478,-8.489824899087171,0,3
4,123,0,25.97390640068982,200000.0,7.633683780482404,1149,376,39.13221173744442,3.0180285403563634,3.6391628849365394,1,12.206072645530174,-2.0260935993101796,0,2
2,157,0,30.921804158102944,13196.480369688014,4.457999819384215,3452,493,38.69167823391638,3.4470513886412766,3.067413954344144,0,9.487705434360056,2.921804158102944,0,0
1,100,1,25.518705585779887,31560.144953100662,4.5754880479569975,4410,593,38.92691976616715,3.9400854188742063,3.20951219167012,0,10.359650367886546,-2.4812944142201125,0,0
5,65,0,21.475216092329273,56445.857687590586,5.4744610572390116,3798,492,38.70048222017451,4.453804590587497,3.275755531530096,0,10.941037186683234,-6.524783907670727,1,0
2,130,1,17.036547977310963,1334128.7110661597,5.4469266920332435,2240,296,39.485631978895604,2.2473028497519234,3.469064634636499,1,14.103788985860414,-10.963452022689037,0,3
2,101,0,26.494502392652404,31489.17144943712,4.968832208516244,2821,419,38.38521946647006,3.8905421977886996,3.293832361298508,0,10.357399002203572,-1.5054976073475963,0,0
1,27,0,23.097858102071193,82720.8736784314,4.81732023499275,3556,468,38.32828666151731,3.7814274925619857,3.567101172028073,0,11.323227251563068,-4.902141897928807,1,0
3,99,1,19.911948416328574,34478.853231654684,4.784685524158566,4026,508,38.51533028904666,3.9187399932763323,3.021636571933609,0,10.448101465281809,-8.088051583671426,1,0
5,200,0,27.936329219514917,35405.565630655874,4.6484554908562705,4777,490,38.56156296140145,3.9489032446155203,3.3361482891476775,0,10.474624307968876,-0.0636707804850829,0,0
2,276,0,34.4745521550108,66165.44742538407,4.128174226538832,2958,510,38.564706925760035,3.7439423342617086,2.93608937296432,0,11.099913663451105,6.474552155010798,0,0
5,217,0,38.14554124694745,10000.0,4.320100501196563,4331,578,38.39653122214661,4.09172947782016,3.0279358074091234,0,9.210340371976184,10.145541246947452,0,0
2,165,0,28.910846805271486,54414.37357357049,5.116896399559857,3649,520,39.27239737572192,3.183714614515698,3.18277902741391,0,10.904383618046449,0.9108468052714862,0,1
2,103,1,28.076285020386578,136894.9744829141,4.176658518421682,3176,490,37.88604876220299,3.9960749958068225,3.3802362434663387,0,11.826969301201084,0.07628502038657814,0,0
2,124,0,29.195956349758422,32866.418649046806,4.529704689654197,3726,412,38.51711101368724,4.373014108896099,3.377898416722004,0,10.400206705719098,1.195956349758422,0,0
1,165,0,28.995159516474168,35986.442087166884,4.603453273010326,3892,466,38.88141401027221,3.245553848125647,2.9945845740519177,0,10.490897537813575,0.9951595164741676,0,0
5,123,0,29.87674900265151,195000.0,5.022688254510724,4375,473,38.4581659323685,3.3762025399876485,2.9702683443809326,0,12.180754837545884,1.8767490026515112,0,0
4,49,0,32.94055596402875,16631.23346916645,4.673349912368979,4001,526,39.3461056150585,4.21427345649612,3.267691114716375,0,9.719037740763323,4.9405559640287535,1,1
4,113,0,29.417666079543853,45485.165252706895,4.583548511681226,3652,451,39.03291451468521,4.159076187213622,3.1829791712757163,0,10.72514151337492,1.417666079543853,0,0
1,33,0,9.58939080694622,200000.0,5.015647222543361,2499,329,39.99053223893339,2.489088744207133,3.3534040133637224,1,12.206072645530174,-18.41060919305378,1,3
2,61,0,29.228133946111093,47494.42292785289,4.5238775296608305,4279,457,38.551990411420654,4.478150833931019,3.448101322566217,0,10.768367571084196,1.2281339461110932,1,0
1,400,0,29.80249386555538,82137.01087773047,4.393002661220819,2825,504,38.398030420837074,3.806511144377203,3.5662114740428787,0,11.316143996268051,1.8024938655553804,0,0
4,257,0,19.32491812046927,15891.693929650974,4.931749638202877,4874,567,38.322982050670035,3.7724823410921005,3.0339083278263344,0,9.673551857351276,-8.67508187953073,0,0
1,37,0,30.0069669805807,77169.89697089736,5.783547053559335,3506,493,38.68039868717622,3.5586963378978873,2.7974346920751656,0,11.25376472435807,2.0069669805806996,1,0
5,39,0,33.544284491023085,27040.61773315442,5.196382758220892,4672,474,38.9835135995137,3.2250187125036494,3.1259482409773005,0,10.20509537505699,5.544284491023085,1,0
5,52,0,27.404912914296965,46129.61498838887,5.160237434691473,2951,498,38.02863831055143,3.83545664226719,2.9030965300068985,0,10.739210430286576,-0.5950870857030353,1,0
1,110,0,23.567925641632854,62576.4857770906,5.361427166818173,3598,454,38.63384486604213,4.226585256639454,3.3526165832881794,0,11.044144859958813,-4.432074358367146,0,0
1,206,0,25.555589562683913,83602.36714660168,4.770949721804026,3647,472,39.00899234885983,3.3572530223521406,3.77841387532952,0,11.333827113822665,-2.444410437316087,0,0
2,37,0,17.559295983659688,21479.035875506936,4.987332687646552,4320,521,38.22982894636335,4.881786228066836,2.9834853225833586,0,9.974832662862514,-10.440704016340312,1,0
4,177,1,21.107092248433652,33731.41445702361,4.947567314058076,3616,459,38.56516823006069,3.6009627858743727,3.3533035774059106,0,10.426184861864384,-6.892907751566348,0,0
1,190,1,24.540484484562214,195000.0,5.169426731873418,3940,484,38.91960789642313,3.1224552015316775,3.5978070698918247,0,12.180754837545884,-3.4595155154377863,0,0
2,264,0,28.802759691561384,23000.023907885785,4.192617374124853,4667,513,38.318667000065865,3.806164552166656,3.434377478863473,0,10.043250534384041,0.8027596915613842,0,0
