cow_lactation_id,cow_id,herd_id,parity_prior_lactation,n_scc_records_previous_lactation,dry_off_scc_missing,dry_off_clinical_mastitis_within_7d,dry_off_imi_status_paper_rule,calving_interval_days,lactation_length_days,month_of_dry_off,month_of_calving,first_scc_prev_lactation_cells_ml,median_scc_prev_lactation_cells_ml,mean_scc_prev_lactation_cells_ml,min_scc_prev_lactation_cells_ml,max_scc_prev_lactation_cells_ml,mean_first3_scc_prev_lactation_cells_ml,mean_last3_scc_prev_lactation_cells_ml,ratio_last3_to_first3_scc,last_scc_prev_lactation_cells_ml,consecutive_3_scc_gt_200k_prev_lactation,pct_scc_lt_50k_prev_lactation,pct_scc_gt_100k_prev_lactation,pct_scc_gt_200k_prev_lactation,pct_scc_gt_400k_prev_lactation,pct_scc_gt_1000k_prev_lactation,peak_yield_prev_lactation_kg,yield_at_last_recording_kg,herd_new_dry_period_imi_6mo_rate,herd_new_dry_period_imi_year_rate,herd_mean_scc_k_cells_ml,herd_predicted_305d_yield_l,post_calving_sample_day,post_calving_scc_cells_ml,post_calving_scc_threshold_used_cells_ml,clinical_mastitis_within_30d_post_calving,raised_scc_post_calving_paper_rule,normal_scc_post_calving_paper_rule
CL-00011,COW-00006,HERD-009,1,10,0,0,0,342,274,4,7,30783,33538,44800,24099,102349,34263,31693,0.925,30526,0,70,10,0,0,0,45.74,34.83,0.097,0.135,163.1,9631,4,172867,400000,0,0,1
CL-00012,COW-00006,HERD-029,4,9,0,0,1,355,305,7,10,255638,255638,239994,83624,369512,216158,262859,1.216,282729,1,0,88.9,66.7,0,0,44.96,39.98,0.112,0.124,216.7,11066,6,132559,200000,0,0,1
CL-00013,COW-00007,HERD-009,2,9,0,0,1,413,273,7,10,148970,159005,202319,138684,402307,172651,284346,1.647,289379,0,0,100,33.3,11.1,0,36.5,15.53,0.097,0.135,163.1,9631,6,33922,200000,0,0,1
CL-00014,COW-00007,HERD-061,4,10,0,0,0,389,325,5,7,93396,64668,83930,17877,272175,135666,86389,0.637,42610,0,50,20,10,0,0,35.46,22.29,0.206,0.169,222,7228,3,91701,400000,0,0,1
CL-00015,COW-00008,HERD-010,3,8,0,0,0,494,311,11,2,43875,57970,82665,41634,160510,53272,135896,2.551,106530,0,25,37.5,0,0,0,38.85,28.85,0.193,0.186,263.5,9745,13,41457,200000,0,0,1
CL-00016,COW-00008,HERD-014,2,9,0,0,0,389,314,3,5,63767,80601,95223,43649,199397,70787,127319,1.799,62304,0,22.2,44.4,0,0,0,44.68,35.88,0.104,0.109,287.2,12339,30,120852,200000,0,0,1
CL-00017,COW-00009,HERD-033,4,7,0,0,0,357,337,6,8,79968,79968,119879,41829,331188,92937,172838,1.86,122241,0,28.6,42.9,14.3,0,0,28.9,21.06,0.187,0.144,156.7,9366,8,203649,200000,0,1,0
CL-00018,COW-00009,HERD-037,3,11,0,0,0,367,284,11,1,300069,82011,103531,28603,300069,207531,71713,0.346,66032,0,18.2,36.4,9.1,0,0,44.53,32.94,0.192,0.175,226.4,9926,14,30583,200000,0,0,1
CL-00019,COW-00010,HERD-010,2,8,0,0,1,455,311,11,1,132259,179752,265958,66674,831421,128247,407900,3.181,218584,0,0,87.5,37.5,12.5,0,42.83,28.33,0.193,0.186,263.5,9745,14,15154,200000,0,0,1
CL-00020,COW-00010,HERD-060,4,12,0,0,0,415,320,12,2,6373,24869,25349,6373,48258,15582,36689,2.355,48258,0,100,0,0,0,0,41.2,30.32,0.16,0.169,222.6,10364,15,36409,200000,0,0,1
CL-00021,COW-00011,HERD-017,2,8,0,0,1,374,294,12,3,21552,36433,58763,16364,222946,19099,98604,5.163,222946,0,75,12.5,12.5,0,0,42.57,29.85,0.199,0.198,189.9,10772,15,91093,200000,0,0,1
CL-00022,COW-00011,HERD-034,2,10,0,0,0,406,254,10,12,23949,36944,54849,14350,249015,107897,30053,0.279,27664,0,80,10,10,0,0,38.56,28.66,0.222,0.2,251.6,9074,10,88711,200000,0,0,1
CL-00023,COW-00012,HERD-069,2,12,0,0,0,386,201,8,10,15022,20824,21470,6495,45605,14709,27584,1.875,25067,0,100,0,0,0,0,48.52,35.4,0.169,0.193,185.3,7911,1,326921,400000,0,0,1
CL-00024,COW-00012,HERD-022,1,10,0,0,0,386,242,1,3,42276,70729,98790,42276,339815,82338,67287,0.817,81052,0,20,30,10,0,0,38.95,28.4,0.167,0.142,316.9,10302,13,50506,200000,0,0,1
CL-00025,COW-00013,HERD-084,3,9,0,0,0,451,370,8,11,20834,27613,32481,14114,57009,23292,32845,1.41,57009,0,77.8,0,0,0,0,33.84,17.14,0.091,0.099,272,9088,14,26928,200000,0,0,1
CL-00026,COW-00013,HERD-025,1,8,0,0,0,399,396,1,4,25485,25724,32367,11976,64524,33753,38832,1.15,22731,0,75,0,0,0,0,41.67,31.08,0.055,0.077,231.2,10871,9,52124,200000,0,0,1
CL-00027,COW-00014,HERD-045,2,11,0,0,0,397,259,2,4,742374,188427,327628,84373,946179,614870,181856,0.296,188427,0,0,90.9,45.5,27.3,0,53.64,36.39,0.215,0.203,243.4,11936,1,456436,400000,0,1,0
CL-00028,COW-00014,HERD-081,2,12,0,0,0,351,324,7,10,47927,43480,46691,27385,77589,54801,58338,1.065,77589,0,58.3,0,0,0,0,36.43,28.19,0.176,0.17,194.7,9342,18,55974,200000,0,0,1
CL-00029,COW-00015,HERD-056,3,12,0,0,0,398,307,8,11,46883,111588,224919,35608,1065285,459234,211945,0.462,78661,0,25,50,33.3,16.7,8.3,39.85,22.79,0.147,0.148,231.1,10045,8,119333,200000,0,0,1
CL-00030,COW-00015,HERD-007,1,9,0,0,0,434,277,5,7,350335,133866,190067,79610,350335,193168,194209,1.005,104062,0,0,88.9,44.4,0,0,33.6,21.16,0.089,0.107,226.2,10392,11,116090,200000,0,0,1
CL-00031,COW-00016,HERD-042,2,10,0,0,1,408,333,2,4,948563,466600,578991,210986,1138698,598861,375016,0.626,361633,1,0,100,100,50,10,31.49,20.27,0.176,0.156,243.8,9700,17,99401,200000,0,0,1
CL-00032,COW-00016,HERD-027,3,8,0,0,1,457,418,8,11,880486,561402,595208,142953,1340700,748976,691372,0.923,256385,1,0,100,87.5,62.5,12.5,49.46,41.11,0.155,0.136,236,6670,14,65335,200000,0,0,1
CL-00033,COW-00017,HERD-043,2,8,0,0,1,372,269,12,3,349989,277119,265286,70792,496750,179064,361567,2.019,303241,1,0,87.5,75,12.5,0,38.43,25.51,0.209,0.192,357,9647,13,188072,200000,0,0,1
CL-00034,COW-00017,HERD-061,3,10,0,0,1,418,386,6,9,204280,214806,213016,59906,340245,132609,296764,2.238,340245,1,0,90,60,0,0,41.27,28.97,0.206,0.169,222,7228,23,72175,200000,0,0,1
CL-00035,COW-00018,HERD-075,3,7,0,0,0,402,303,8,10,28460,47107,55164,28460,99806,58458,44629,0.763,62108,0,57.1,0,0,0,0,44.14,27.68,0.189,0.162,225.7,9937,19,152260,200000,0,0,1
CL-00036,COW-00018,HERD-022,3,8,0,0,0,423,208,11,1,40933,33681,35258,10436,76645,22454,52847,2.354,76645,0,87.5,0,0,0,0,49.5,34.58,0.167,0.142,316.9,10302,1,71644,400000,0,0,1
CL-00037,COW-00019,HERD-068,2,8,0,0,0,410,300,2,4,36853,62924,83614,36853,262218,66274,45766,0.691,57482,0,37.5,12.5,12.5,0,0,34.79,12.6,0.211,0.193,140.3,10726,9,199365,200000,0,0,1
CL-00038,COW-00019,HERD-063,3,12,0,0,1,449,328,12,2,391464,380444,670440,208210,1863247,632325,632552,1,366348,1,0,100,100,41.7,25,42.54,27.92,0.151,0.169,148.6,10261,18,68328,200000,0,0,1
CL-00039,COW-00020,HERD-066,3,8,0,0,1,503,372,12,2,78809,195308,195486,78809,347850,128852,218438,1.695,347850,0,0,75,37.5,0,0,43.11,32.56,0.092,0.142,272.4,10891,5,45466,200000,0,0,1
CL-00040,COW-00020,HERD-033,4,10,0,0,0,518,307,12,3,146464,229107,299708,39072,772105,256394,289220,1.128,83668,0,10,80,50,30,0,28.61,27.02,0.187,0.144,156.7,9366,25,110653,200000,0,0,1
CL-00041,COW-00021,HERD-022,1,9,0,0,0,342,350,10,12,133834,133834,134689,48707,241877,178791,143710,0.804,163500,0,11.1,55.6,22.2,0,0,39.19,24.54,0.167,0.142,316.9,10302,18,69904,200000,0,0,1
CL-00042,COW-00021,HERD-042,3,11,0,0,0,476,228,3,5,220427,235825,275539,102476,587783,191323,392247,2.05,184498,1,0,100,72.7,27.3,0,51.7,41.36,0.176,0.156,243.8,9700,14,124628,200000,0,0,1
CL-00043,COW-00022,HERD-020,2,10,0,0,0,333,307,4,6,157070,58479,79365,28094,168247,82354,102575,1.246,51904,0,40,30,0,0,0,40.81,24.84,0.094,0.126,181.6,7702,17,74132,200000,0,0,1
CL-00044,COW-00022,HERD-020,1,11,0,0,0,458,269,7,9,19975,14017,19378,6437,54848,15626,26598,1.702,54848,0,90.9,0,0,0,0,35.49,27.5,0.094,0.126,181.6,7702,15,90248,200000,0,0,1
CL-00045,COW-00023,HERD-017,2,10,0,0,1,440,316,4,6,356857,253596,372737,90147,1048858,216529,491857,2.272,1048858,1,0,90,70,30,10,40.01,30.47,0.199,0.198,189.9,10772,5,36061,200000,0,0,1
CL-00046,COW-00023,HERD-041,2,9,0,0,0,422,382,1,4,57556,171464,174046,57556,249474,156581,169484,1.082,196509,0,0,88.9,22.2,0,0,43.78,33.02,0.136,0.153,205.7,12850,11,339012,200000,1,1,0
CL-00047,COW-00024,HERD-060,3,9,0,0,0,343,276,12,3,45949,73520,116714,29388,384850,88489,206737,2.336,108229,0,33.3,44.4,11.1,0,0,51.77,34.98,0.16,0.169,222.6,10364,13,764064,200000,0,1,0
CL-00048,COW-00024,HERD-071,4,10,0,0,0,435,364,8,10,39949,127465,144985,39949,284991,75738,136828,1.807,157411,0,10,70,30,0,0,42.28,25.94,0.23,0.221,174.4,10029,8,42990,200000,0,0,1
CL-00049,COW-00025,HERD-028,1,9,0,0,0,325,255,5,7,28487,29370,35715,13328,68336,35400,36745,1.038,16801,0,77.8,0,0,0,0,39.55,25.86,0.157,0.158,244.9,9576,23,29929,200000,0,0,1
CL-00050,COW-00025,HERD-021,3,9,0,0,1,419,315,9,11,43054,42614,70864,11565,380083,28310,158528,5.6,380083,0,77.8,11.1,11.1,0,0,38.03,25.98,0.133,0.137,199.8,8217,8,75877,200000,0,0,1
CL-00051,COW-00026,HERD-082,1,11,0,0,0,328,295,4,7,71857,73596,88860,46916,144299,73752,110385,1.497,61914,0,9.1,36.4,0,0,0,39.35,30.27,0.127,0.128,254,7962,20,111112,200000,0,0,1
CL-00052,COW-00026,HERD-065,3,8,0,0,0,354,310,2,4,140224,216532,236121,87044,526630,151324,205615,1.359,162836,1,0,87.5,62.5,12.5,0,34.17,24.07,0.145,0.132,159.4,9309,4,214130,400000,0,0,1
CL-00053,COW-00027,HERD-084,2,9,0,0,0,434,352,9,12,19947,48446,42037,19947,59789,43938,37195,0.847,30893,0,55.6,0,0,0,0,34.37,14.1,0.091,0.099,272,9088,10,108986,200000,0,0,1
CL-00054,COW-00027,HERD-049,1,13,0,0,0,423,279,3,6,99389,54677,68600,24836,143053,78560,97020,1.235,143053,0,46.2,15.4,0,0,0,30.45,20.79,0.153,0.163,155.7,11683,17,51024,200000,0,0,1
CL-00055,COW-00028,HERD-040,2,8,0,0,1,416,301,12,3,533972,341985,555177,217590,1933326,347343,929726,2.677,477732,1,0,100,100,37.5,12.5,40.39,31.32,0.149,0.164,210.1,10693,20,29727,200000,0,0,1
CL-00056,COW-00028,HERD-041,3,8,0,0,1,341,296,3,5,154988,556278,767023,154988,2563001,615702,1097071,1.782,439260,1,0,100,87.5,62.5,12.5,40.94,21.01,0.136,0.153,205.7,12850,15,53529,200000,0,0,1
CL-00057,COW-00029,HERD-042,4,9,0,0,1,320,378,1,4,2745872,418943,695192,230414,2745872,1351270,291164,0.215,353153,1,0,100,100,55.6,22.2,35.61,24.82,0.176,0.156,243.8,9700,12,278891,200000,1,1,0
CL-00058,COW-00029,HERD-028,3,11,0,0,0,422,344,7,10,258784,271091,284604,78340,528765,289545,308995,1.067,127129,1,0,90.9,72.7,18.2,0,44.58,28.18,0.157,0.158,244.9,9576,12,69342,200000,0,0,1
CL-00059,COW-00030,HERD-049,1,10,0,0,0,422,337,5,8,64324,77253,76576,49786,108612,66710,84066,1.26,70035,0,10,10,0,0,0,36.27,22.18,0.153,0.163,155.7,11683,22,110687,200000,0,0,1
CL-00060,COW-00030,HERD-076,3,11,0,0,0,372,292,9,11,60639,90200,90041,52092,134901,83888,98757,1.177,134901,0,0,45.5,0,0,0,42.47,27.88,0.222,0.182,179.2,8798,12,87566,200000,0,0,1
CL-00061,COW-00031,HERD-020,1,11,0,0,0,372,265,4,7,47332,51332,72982,18563,198506,94346,70310,0.745,87414,0,45.5,18.2,0,0,0,43.39,28.79,0.094,0.126,181.6,7702,13,29440,200000,0,0,1
CL-00062,COW-00031,HERD-024,1,8,0,0,0,338,316,5,8,83952,101091,99487,49519,125382,80122,104489,1.304,95288,0,12.5,50,0,0,0,40.17,26.29,0.253,0.237,162.9,11120,9,113040,200000,0,0,1
CL-00063,COW-00032,HERD-025,1,9,0,0,0,326,314,12,2,77159,112768,100093,54183,136863,111060,124906,1.125,112768,0,0,55.6,0,0,0,33.11,9.82,0.055,0.077,231.2,10871,23,101364,200000,0,0,1
CL-00064,COW-00032,HERD-080,4,12,0,0,0,417,283,7,9,88960,180929,357457,88960,1339625,195643,697849,3.567,140302,1,0,91.7,41.7,33.3,8.3,48.41,35.8,0.168,0.167,327.3,5493,6,54758,200000,0,0,1
CL-00065,COW-00033,HERD-077,1,11,0,0,0,349,333,6,9,105664,105664,123736,62166,254416,110112,159103,1.445,160726,0,0,54.5,18.2,0,0,43.03,27.87,0.248,0.197,80,11285,8,67339,200000,0,0,1
CL-00066,COW-00033,HERD-066,3,8,0,0,0,370,264,9,11,35234,25065,27226,16803,44923,25588,26935,1.053,19079,0,100,0,0,0,0,39.74,26.29,0.092,0.142,272.4,10891,17,25286,200000,0,0,1
CL-00067,COW-00034,HERD-062,4,10,0,0,0,380,270,9,12,344839,101514,128935,63820,344839,204247,91421,0.448,72253,0,0,50,10,0,0,44.34,33.22,0.221,0.198,312.5,12850,7,41139,200000,0,0,1
CL-00068,COW-00034,HERD-068,5,13,0,0,0,441,298,12,3,28971,28971,37570,19669,92531,48326,39471,0.817,26030,0,84.6,0,0,0,0,39.62,18.23,0.211,0.193,140.3,10726,8,58550,200000,0,0,1
CL-00069,COW-00035,HERD-047,5,11,0,0,1,530,306,3,5,446507,182471,262186,46850,751587,243518,399613,1.641,751587,0,9.1,81.8,36.4,27.3,0,37.51,18.84,0.188,0.192,300.5,6443,4,932359,400000,0,1,0
CL-00070,COW-00035,HERD-041,1,9,0,0,0,341,308,9,12,37594,50113,60083,27824,92600,43644,82712,1.895,92600,0,44.4,0,0,0,0,44.5,25.82,0.136,0.153,205.7,12850,8,28564,200000,0,0,1
CL-00071,COW-00036,HERD-001,5,14,0,0,0,484,315,4,7,36830,52464,61962,20389,135000,55696,41358,0.743,60028,0,50,14.3,0,0,0,41.46,26.18,0.125,0.113,238,7936,14,31723,200000,0,0,1
CL-00072,COW-00036,HERD-023,1,8,0,0,1,382,248,5,7,142713,136853,139170,71232,229479,105763,153419,1.451,229479,0,0,75,12.5,0,0,30.04,23.76,0.171,0.161,238.4,8354,19,676218,200000,0,1,0
CL-00073,COW-00037,HERD-047,3,9,0,0,0,435,375,6,8,52829,46580,49954,29831,87793,43461,72517,1.669,87793,0,55.6,0,0,0,0,39.07,26.49,0.188,0.192,300.5,6443,10,26432,200000,0,0,1
CL-00074,COW-00037,HERD-079,2,9,0,0,1,404,336,10,12,294766,188928,270344,97953,643636,525958,178152,0.339,202072,1,0,88.9,44.4,22.2,0,41.29,27.76,0.139,0.152,236.2,11514,20,366287,200000,0,1,0
CL-00075,COW-00038,HERD-001,1,8,0,0,0,386,287,3,6,35917,24323,36145,14302,125318,27602,54608,1.978,14302,0,87.5,12.5,0,0,0,41.64,29.32,0.125,0.113,238,7936,20,44302,200000,0,0,1
CL-00076,COW-00038,HERD-036,2,9,0,0,0,429,302,1,3,29726,29726,48176,22638,99782,52352,48902,0.934,24331,0,66.7,0,0,0,0,40.02,25.17,0.176,0.169,188.5,9939,7,65086,200000,0,0,1
CL-00077,COW-00039,HERD-028,4,13,0,0,0,430,290,8,10,40939,183973,213790,30090,699204,106878,450899,4.219,199625,0,15.4,69.2,30.8,15.4,0,41.29,30.98,0.157,0.158,244.9,9576,12,54639,200000,0,0,1
CL-00078,COW-00039,HERD-043,2,7,0,0,0,406,381,4,7,48570,48570,49860,28521,77840,46065,60768,1.319,77840,0,57.1,0,0,0,0,24.25,10.51,0.209,0.192,357,9647,22,49433,200000,0,0,1
CL-00079,COW-00040,HERD-030,3,9,0,0,1,375,313,4,6,121547,137279,174805,76826,394075,184932,225209,1.218,202238,0,0,77.8,33.3,0,0,38.28,21.26,0.11,0.119,140.4,9911,22,130551,200000,0,0,1
CL-00080,COW-00040,HERD-078,3,10,0,0,0,436,288,4,7,46242,91024,106620,35324,280330,123946,143007,1.154,171476,0,40,50,10,0,0,37.56,30.15,0.158,0.178,209.2,10363,7,567307,200000,0,1,0
CL-00081,COW-00041,HERD-079,3,7,0,0,0,406,344,12,3,26701,61290,70495,26701,114913,56654,87405,1.543,94809,0,28.6,28.6,0,0,0,50.49,33.63,0.139,0.152,236.2,11514,5,66239,200000,0,0,1
CL-00082,COW-00041,HERD-039,2,8,0,0,0,468,214,4,7,175607,117134,128617,65441,215134,144276,132869,0.921,65441,0,0,62.5,12.5,0,0,50.14,34.41,0.178,0.194,310.9,10052,3,308357,400000,0,0,1
CL-00083,COW-00042,HERD-029,5,9,0,0,0,414,382,3,5,73131,119658,147928,73131,238328,128754,124642,0.968,85687,0,0,77.8,33.3,0,0,43.84,29.3,0.112,0.124,216.7,11066,5,36659,200000,0,0,1
CL-00084,COW-00042,HERD-065,2,10,0,0,0,385,316,5,7,716025,281965,350069,149947,716025,411953,358769,0.871,149947,1,0,100,90,40,0,47.3,29.91,0.145,0.132,159.4,9309,17,353868,200000,0,1,0
CL-00085,COW-00043,HERD-050,1,9,0,0,1,393,312,11,2,82454,131986,182632,29055,654693,278885,167634,0.601,220515,0,11.1,55.6,33.3,11.1,0,40.54,23.98,0.181,0.173,88.8,8329,20,47791,200000,0,0,1
CL-00086,COW-00043,HERD-030,3,10,0,0,0,442,280,8,11,89497,45199,56209,27166,125847,82182,54319,0.661,64770,0,60,10,0,0,0,51.48,39.47,0.11,0.119,140.4,9911,17,78181,200000,0,0,1
CL-00087,COW-00044,HERD-068,1,9,0,0,1,385,283,5,7,406347,315413,457248,121168,1144943,532163,590264,1.109,310437,1,0,100,66.7,44.4,22.2,37.87,22.24,0.211,0.193,140.3,10726,1,233620,400000,0,0,1
CL-00088,COW-00044,HERD-005,1,11,0,0,0,328,316,6,8,89592,89592,95126,43265,190414,66924,122393,1.829,190414,0,9.1,45.5,0,0,0,29.72,15.31,0.147,0.138,189.6,11475,14,48643,200000,0,0,1
CL-00089,COW-00045,HERD-081,4,10,0,0,1,435,318,8,10,175631,169085,159876,54339,374762,138315,134821,0.975,226866,0,0,70,20,0,0,46.49,31.88,0.176,0.17,194.7,9342,11,22891,200000,0,0,1
CL-00090,COW-00045,HERD-064,2,8,0,0,0,300,388,7,9,41787,38820,38904,15475,69919,32449,33754,1.04,35853,0,87.5,0,0,0,0,36.27,23.88,0.13,0.136,80,6610,4,593898,400000,0,1,0
CL-00091,COW-00046,HERD-032,3,9,0,0,0,445,346,3,5,36868,53772,57734,36868,77092,47226,59325,1.256,77092,0,33.3,0,0,0,0,43.09,27.06,0.174,0.18,187.1,9895,17,30602,200000,0,0,1
CL-00092,COW-00046,HERD-074,2,7,0,0,0,437,235,3,6,19761,25975,32098,10542,85765,24734,42262,1.709,85765,0,85.7,0,0,0,0,37.15,18.16,0.136,0.138,197.1,8215,12,23269,200000,0,0,1
CL-00093,COW-00047,HERD-009,2,10,0,0,1,378,240,8,10,204681,149100,198423,61003,666223,122073,321474,2.633,666223,0,0,80,40,10,0,43.44,30.35,0.097,0.135,163.1,9631,1,215656,400000,0,0,1
CL-00094,COW-00047,HERD-044,4,10,0,0,0,490,318,3,5,14001,22984,32852,14001,93627,20992,63536,3.027,42177,0,80,0,0,0,0,43.91,29.19,0.087,0.113,162.6,10449,3,163123,400000,0,0,1
CL-00095,COW-00048,HERD-012,1,10,0,0,0,424,334,11,1,25648,85421,95616,25648,270705,127273,62193,0.489,85374,0,30,30,10,0,0,40.91,18.64,0.094,0.11,270.3,6355,18,96811,200000,0,0,1
CL-00096,COW-00048,HERD-052,1,9,0,0,0,366,256,3,6,64940,58777,53680,35009,65836,53466,55086,1.03,49060,0,33.3,0,0,0,0,42.52,34.93,0.152,0.145,237.8,8897,13,133079,200000,0,0,1
CL-00097,COW-00049,HERD-039,3,11,0,0,0,393,324,3,5,55773,44886,57888,12957,166129,40923,66148,1.616,36008,0,63.6,9.1,0,0,0,36.31,20.86,0.178,0.194,310.9,10052,8,39957,200000,0,0,1
CL-00098,COW-00049,HERD-064,3,7,0,0,1,468,302,4,7,184302,256847,278601,184302,400177,216071,332223,1.538,339645,1,0,100,85.7,14.3,0,39.08,25.78,0.13,0.136,80,6610,21,870208,200000,0,1,0
CL-00099,COW-00050,HERD-044,1,7,0,0,0,333,301,9,11,67503,65900,74371,20906,179016,43635,70224,1.609,53405,0,28.6,14.3,0,0,0,44.76,29.06,0.087,0.113,162.6,10449,11,29208,200000,0,0,1
CL-00100,COW-00050,HERD-076,4,9,0,0,1,431,311,7,10,251467,311426,343671,146761,656064,257887,540480,2.096,481048,1,0,100,88.9,33.3,0,43.36,34.94,0.222,0.182,179.2,8798,18,39300,200000,0,0,1
CL-00101,COW-00051,HERD-052,1,9,0,0,0,370,311,6,9,17735,28635,29765,14762,76557,36351,29910,0.823,29108,0,88.9,0,0,0,0,35.63,17.31,0.152,0.145,237.8,8897,14,318565,200000,0,1,0
CL-00102,COW-00051,HERD-015,4,9,0,0,0,445,332,7,9,44939,39913,44750,26099,103612,32861,40468,1.231,38634,0,88.9,11.1,0,0,0,41.47,35.48,0.153,0.15,277,11810,5,24165,200000,0,0,1
CL-00103,COW-00052,HERD-046,1,8,0,0,1,350,282,1,3,214915,258438,328275,158399,956324,181069,539697,2.981,341011,1,0,100,62.5,12.5,0,32.25,21.24,0.184,0.19,280.4,11653,20,30023,200000,0,0,1
CL-00104,COW-00052,HERD-066,3,11,0,0,0,409,254,9,12,24288,70735,85133,14353,320698,31648,78655,2.485,74736,0,27.3,18.2,9.1,0,0,46.09,35.9,0.092,0.142,272.4,10891,13,75215,200000,0,0,1
CL-00105,COW-00053,HERD-038,4,9,0,0,1,377,276,12,2,94776,233676,239220,78199,513342,168381,154930,0.92,233676,1,0,66.7,55.6,22.2,0,39.64,24.75,0.182,0.143,293.6,11705,6,1064923,200000,0,1,0
CL-00106,COW-00053,HERD-033,2,9,0,0,0,404,304,1,4,56787,72793,86139,28653,163614,85905,110831,1.29,140226,0,11.1,33.3,0,0,0,42.13,21.25,0.187,0.144,156.7,9366,10,64198,200000,0,0,1
CL-00107,COW-00054,HERD-038,3,9,0,0,0,397,239,9,12,27782,23067,27200,12440,53796,37239,14859,0.399,13581,0,77.8,0,0,0,0,40.44,28.54,0.182,0.143,293.6,11705,19,131927,200000,0,0,1
CL-00108,COW-00054,HERD-013,2,10,0,0,1,445,308,12,3,264955,137230,177404,67912,406922,170395,265007,1.555,286879,0,0,80,30,10,0,28.08,20.19,0.132,0.157,240.9,7396,17,30008,200000,0,0,1
CL-00109,COW-00055,HERD-050,2,10,0,0,0,345,315,5,7,32944,35609,46383,13213,84192,40524,30678,0.757,31867,0,70,0,0,0,0,38,24.05,0.181,0.173,88.8,8329,19,61455,200000,0,0,1
CL-00110,COW-00055,HERD-060,2,8,0,0,0,495,339,9,12,49360,70127,79976,49360,132351,79578,91945,1.155,73435,0,12.5,25,0,0,0,37.84,24.94,0.16,0.169,222.6,10364,4,94076,400000,0,0,1
